"Data Source","World Development Indicators",

"Last Updated Date","2018-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Middle income","MIC","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2948281185669","24.7350990029792","23.8020558641079","23.0266231641508","22.2970993301866","21.458712086867","20.7829497000362","20.3915251632305","20.0621861187976","19.6874136556063","20.2717137565386","19.7501771445516","19.1379640619463","18.085682369193","17.1238495746019","16.1927646717259","15.2103246437517","14.5084912398798","13.7456324986807","12.9963769905048","12.4647320952013","11.9967679191452","11.4419865693992","11.1396368308324","10.6028255204111","10.3209939204637","10.3196685623053",
"Middle income","MIC","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1047429351087","14.6087871903525","13.9820624312815","13.5825497327381","13.2453203477935","12.8121807832874","12.0932967454609","11.7291628794816","11.4333510238865","11.0413836532307","11.5231514135648","11.1106668381381","10.842483737385","10.3463731170247","9.8550784018746","9.41129279346977","8.97522869443436","8.57709239664497","8.16677104405684","7.85381885972081","7.57326452042799","7.28845206166742","6.97982654307386","6.79732081372562","6.38794391513202","6.27180274407849","6.2724995329574",
"Middle income","MIC","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8525894481537","41.1558818101282","39.7316882744847","38.3252628986958","36.9697151430291","35.4811262369475","34.8649703673468","34.4396708782972","34.0343273669481","33.6654928366251","34.4066576259046","33.6863152588887","32.5262831910065","30.5834930510536","28.8572499389841","27.1998415760062","25.3929533112914","24.2604253950622","22.9899042876601","21.5875195393353","20.6614772792699","19.9068658116657","18.9436938640317","18.4413213634786","17.7027770536231","17.1290629001857","17.1598572124505",
"Middle income","MIC","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5281394063616","36.1635880437505","37.1943086793304","37.8383615292357","38.6979499878051","39.5068057398044","40.0301927962263","40.1689926776","40.3738643748966","40.7860042844162","40.192062080076","40.5335866623684","41.139037517746","42.2303006080139","43.2626386469723","44.4032188240263","45.3836159214118","46.1155674823931","46.8058440395641","47.6604416403023","48.6708213003224","49.2830314898562","49.5549460027067","50.0215575751258","50.3787072273931","50.5504090357068","50.4337374916438",
"Middle income","MIC","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4715104815859","37.1984805900578","38.1002108399262","38.6774284303869","39.3291943533018","40.0123573126838","40.4671384042891","40.5907542460972","40.8693212527103","41.2193710783903","40.283701108416","40.6146099848044","41.1792209359466","42.1730880509159","43.150069196135","44.1650491391184","45.1231327498149","45.6281623798419","46.2345573380466","46.9979073042903","47.77851688064","48.365345509793","48.6387824961256","49.1105280325613","49.5643630297427","49.7975781846315","49.7208758389905",
"Middle income","MIC","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.9949211586832","34.4855007516772","35.7240043640617","36.4793325944598","37.6747763582186","38.6862357117741","39.3220781928248","39.4853852500039","39.5723752902169","40.0853879060986","40.0436908968634","40.4029221476395","41.0746337301883","42.3220924983825","43.444155967771","44.7897912272068","45.8081693743017","46.917584092098","47.75217608386","48.7666866598137","50.1659570464856","50.8246161592958","51.0956580411396","51.553367309219","51.7508978389845","51.8166275095221","51.6381470368266",
"Middle income","MIC","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.1168411529901","61.5720608617389","60.6107119864833","59.8571097118905","59.1019681442094","58.2472562348131","57.6556297862652","57.5415105161425","57.4635873973324","56.9885728534679","57.5481405269994","57.1893619718926","56.5471529758319","55.2636304757745","54.1119867725086","52.8780880636556","51.8168184423145","50.9733493236189","50.3749485007882","49.4790448818196","48.1817894436417","47.5268202775153","47.173796928206","46.8211594826847","46.5302216135385","46.3899971276599","46.4934820098832",
