"Country Code","Region","IncomeGroup","SpecialNotes","TableName",
"MIC","","","Middle income group aggregate. Middle-income economies are those in which 2016 GNI per capita was between $1,006 and $12,235.","Middle income",
"PER","Latin America & Caribbean","Upper middle income","","Peru",
